Group,Sample,Folder_name,File_name,fastq_1,fastq_2
shCon_MIB-01,shCon_MIB-01-01,Sample_Molm13_shCon_MIB_r1_IGO_14706_C_36,shCon_MIB_r1_IGO_14706_C_36_S30,Molm13_shCon_MIB_r1_IGO_14706_C_36_S30_L001_R1_001.fastq.gz,Molm13_shCon_MIB_r1_IGO_14706_C_36_S30_L001_R2_001.fastq.gz
shCon_MIB-01,shCon_MIB-01-02,Sample_Molm13_shCon_MIB_r1_IGO_14706_C_36,shCon_MIB_r1_IGO_14706_C_36_S30,Molm13_shCon_MIB_r1_IGO_14706_C_36_S30_L002_R1_001.fastq.gz,Molm13_shCon_MIB_r1_IGO_14706_C_36_S30_L002_R2_001.fastq.gz
shCon_MIB-01,shCon_MIB-01-03,Sample_Molm13_shCon_MIB_r1_IGO_14706_B_1,shCon_MIB_r1_IGO_14706_B_1_S129,Molm13_shCon_MIB_r1_IGO_14706_B_1_S129_L003_R1_001.fastq.gz,Molm13_shCon_MIB_r1_IGO_14706_B_1_S129_L003_R2_001.fastq.gz
shCon_MIB-01,shCon_MIB-01-03,Sample_Molm13_shCon_MIB_r1_IGO_14706_C_36,shCon_MIB_r1_IGO_14706_C_36_S30,Molm13_shCon_MIB_r1_IGO_14706_C_36_S30_L003_R1_001.fastq.gz,Molm13_shCon_MIB_r1_IGO_14706_C_36_S30_L003_R2_001.fastq.gz
shCon_MIB-02,shCon_MIB-02-01,Sample_Molm13_shCon_MIB_r2_IGO_14706_C_5,shCon_MIB_r2_IGO_14706_C_5_S23,Molm13_shCon_MIB_r2_IGO_14706_C_5_S23_L001_R1_001.fastq.gz,Molm13_shCon_MIB_r2_IGO_14706_C_5_S23_L001_R2_001.fastq.gz
shCon_MIB-02,shCon_MIB-02-02,Sample_Molm13_shCon_MIB_r2_IGO_14706_C_5,shCon_MIB_r2_IGO_14706_C_5_S23,Molm13_shCon_MIB_r2_IGO_14706_C_5_S23_L002_R1_001.fastq.gz,Molm13_shCon_MIB_r2_IGO_14706_C_5_S23_L002_R2_001.fastq.gz
shCon_MIB-02,shCon_MIB-02-03,Sample_Molm13_shCon_MIB_r2_IGO_14706_C_5,shCon_MIB_r2_IGO_14706_C_5_S23,Molm13_shCon_MIB_r2_IGO_14706_C_5_S23_L003_R1_001.fastq.gz,Molm13_shCon_MIB_r2_IGO_14706_C_5_S23_L003_R2_001.fastq.gz
shCon_MIB-02,shCon_MIB-02-03,Sample_Molm13_shCon_MIB_r2_IGO_14706_B_2,shCon_MIB_r2_IGO_14706_B_2_S130,Molm13_shCon_MIB_r2_IGO_14706_B_2_S130_L003_R1_001.fastq.gz,Molm13_shCon_MIB_r2_IGO_14706_B_2_S130_L003_R2_001.fastq.gz
shCon_MIB-03,shCon_MIB-03-01,Sample_Molm13_shCon_MIB_r3_IGO_14706_C_7,shCon_MIB_r3_IGO_14706_C_7_S18,Molm13_shCon_MIB_r3_IGO_14706_C_7_S18_L001_R1_001.fastq.gz,Molm13_shCon_MIB_r3_IGO_14706_C_7_S18_L001_R2_001.fastq.gz
shCon_MIB-03,shCon_MIB-03-02,Sample_Molm13_shCon_MIB_r3_IGO_14706_C_7,shCon_MIB_r3_IGO_14706_C_7_S18,Molm13_shCon_MIB_r3_IGO_14706_C_7_S18_L002_R1_001.fastq.gz,Molm13_shCon_MIB_r3_IGO_14706_C_7_S18_L002_R2_001.fastq.gz
shCon_MIB-03,shCon_MIB-03-03,Sample_Molm13_shCon_MIB_r3_IGO_14706_C_7,shCon_MIB_r3_IGO_14706_C_7_S18,Molm13_shCon_MIB_r3_IGO_14706_C_7_S18_L003_R1_001.fastq.gz,Molm13_shCon_MIB_r3_IGO_14706_C_7_S18_L003_R2_001.fastq.gz
shCon_MIB-03,shCon_MIB-03-03,Sample_Molm13_shCon_MIB_r3_IGO_14706_B_3,shCon_MIB_r3_IGO_14706_B_3_S131,Molm13_shCon_MIB_r3_IGO_14706_B_3_S131_L003_R1_001.fastq.gz,Molm13_shCon_MIB_r3_IGO_14706_B_3_S131_L003_R2_001.fastq.gz
shCon_Ribo-01,shCon_Ribo-01-01,Sample_Molm13_shCon_Ribo_r1_IGO_14706_C_29,shCon_Ribo_r1_IGO_14706_C_29_S19,Molm13_shCon_Ribo_r1_IGO_14706_C_29_S19_L001_R1_001.fastq.gz,Molm13_shCon_Ribo_r1_IGO_14706_C_29_S19_L001_R2_001.fastq.gz
shCon_Ribo-01,shCon_Ribo-01-02,Sample_Molm13_shCon_Ribo_r1_IGO_14706_C_29,shCon_Ribo_r1_IGO_14706_C_29_S19,Molm13_shCon_Ribo_r1_IGO_14706_C_29_S19_L002_R1_001.fastq.gz,Molm13_shCon_Ribo_r1_IGO_14706_C_29_S19_L002_R2_001.fastq.gz
shCon_Ribo-01,shCon_Ribo-01-03,Sample_Molm13_shCon_Ribo_r1_IGO_14706_B_4,shCon_Ribo_r1_IGO_14706_B_4_S132,Molm13_shCon_Ribo_r1_IGO_14706_B_4_S132_L003_R1_001.fastq.gz,Molm13_shCon_Ribo_r1_IGO_14706_B_4_S132_L003_R2_001.fastq.gz
shCon_Ribo-01,shCon_Ribo-01-03,Sample_Molm13_shCon_Ribo_r1_IGO_14706_C_29,shCon_Ribo_r1_IGO_14706_C_29_S19,Molm13_shCon_Ribo_r1_IGO_14706_C_29_S19_L003_R1_001.fastq.gz,Molm13_shCon_Ribo_r1_IGO_14706_C_29_S19_L003_R2_001.fastq.gz
shCon_Ribo-02,shCon_Ribo-02-01,Sample_Molm13_shCon_Ribo_r2_IGO_14706_C_42,shCon_Ribo_r2_IGO_14706_C_42_S14,Molm13_shCon_Ribo_r2_IGO_14706_C_42_S14_L001_R1_001.fastq.gz,Molm13_shCon_Ribo_r2_IGO_14706_C_42_S14_L001_R2_001.fastq.gz
shCon_Ribo-02,shCon_Ribo-02-02,Sample_Molm13_shCon_Ribo_r2_IGO_14706_C_42,shCon_Ribo_r2_IGO_14706_C_42_S14,Molm13_shCon_Ribo_r2_IGO_14706_C_42_S14_L002_R1_001.fastq.gz,Molm13_shCon_Ribo_r2_IGO_14706_C_42_S14_L002_R2_001.fastq.gz
